ubigeo;piso_2017;agua_2017;desague_2017;electricidad_2017;vivienda_2017;combustible_2017;electro_2017;hombre_2017;mujer_2017;estatus_migracion_2017;quechua_2017;castellano_2017;pet_2017;pea_2017;peao_2017;hombre_2007;mujer_2007;quechua_2007;castellano_2007;pet_2007;pea_2007;peao_2007;piso_2007;agua_2007;desague_2007;electricidad_2007;vivienda_2007;combustible_2007;electro_2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10111;0.1963824;0.5943152;0.3514212;0.5426357;0.2248062;0.718254;0.8888889;0.4987406;0.5012594;0.8161209;0.0025189;0.940806;0.6914358;0.6284153;0.9507247;0.5089947;0.4910053;0.0022727;0.9920455;0.6656085;0.572337;0.9805555;0.0673575;0;0.1839378;0.3005181;0.6010363;0.007772;0.2020725;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10112;0.1905697;0.5147347;0.4734774;0.4833006;0.3634578;0.5503145;0.7893082;0.4859155;0.5140845;0.7570422;0.0023474;0.9377934;0.7100939;0.553719;0.841791;0.4875;0.5125;0.0072551;0.9915357;0.6636364;0.4811644;0.6192171;0.0817308;0.0096154;0.3149039;0.4519231;0.5;0.0817308;0.1682692;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10113;0.1546012;0.4711657;0.3791411;0.4490798;0.1656442;0.4619165;0.7027027;0.5010973;0.4989027;0.746891;0;0.9495245;0.7176298;0.4852192;0.7836134;0.4938163;0.5061837;0;0.998143;0.6643109;0.643617;0.7727273;0.0762852;0.4394693;0.1426202;0.291874;0.4195688;0.0298507;0.1177446;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10114;0.35236;0.6564215;0.4357848;0.6794731;0.2272228;0.4914773;0.8480114;0.4875919;0.5124081;0.8189338;0.0068934;0.9476103;0.7127757;0.5712444;0.6173815;0.4942023;0.5057977;0.0008565;0.9952891;0.6477409;0.5697531;0.7768148;0.2036442;0.5423365;0.2025723;0.2818864;0.6666667;0.0621651;0.1972133;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10115;0.0882353;0.4117647;0.3502674;0.3903743;0.2593583;0.1646342;0.6768293;0.4939516;0.5060484;0.8125;0.0020161;0.9435484;0.7399194;0.4768392;0.8514286;0.4992764;0.5007236;0;0.9984399;0.6772793;0.5662393;0.6150944;0.1666667;0.035461;0.4787234;0.6241135;0.5780142;0.0248227;0.3120568;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10116;0.0484848;0.6363636;0.3636364;0.7030303;0.0363636;0.6148649;0.8716216;0.512;0.488;0.8133333;0.024;0.928;0.7813333;0.6040956;0.9830508;0.4507042;0.5492958;0.0117647;0.9852941;0.712676;0.6916996;0.9028571;0.0208333;0;0.1319444;0.4583333;0.6666667;0.0138889;0.1180556;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10117;0.0283688;0.286052;0.0212766;0.5744681;0.0330969;0.0101695;0.3457627;0.4590377;0.5409623;0.9271781;0.0091027;0.9414824;0.7789337;0.557596;0.5808383;0.4635974;0.5364026;0.0022422;0.9887893;0.6970021;0.6697389;0.5045872;0.0362538;0.4743202;0.0060423;0.3111782;0.6797583;0.0030211;0.1238671;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10118;0.33125;0.48125;0.40625;0.54375;0.2625;0.4857143;0.8952381;0.5084746;0.4915254;0.7254238;0.0067797;0.9457627;0.8305085;0.5387755;0.8257576;0.5099338;0.4900662;0;0.9965518;0.7218543;0.5642202;0.7560976;0.2272727;0.4285714;0.025974;0.4675325;0.4935065;0.0584416;0.2402597;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10119;0.0949721;0.4748603;0.3435754;0.4608939;0.2402235;0.7165775;0.8235294;0.5396551;0.4603448;0.8413793;0.0034483;0.9431034;0.7206897;0.5406699;0.9336283;0.5626822;0.4373178;0;0.9952978;0.7055393;0.6487603;0.933121;0.0515695;0;0.1816144;0.2331839;0.3609866;0.0201794;0.1659193;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10120;0.1615646;0.6428571;0.4353741;0.5969388;0.2431973;0.6093366;0.6953317;0.5343137;0.4656863;0.8799019;0.002451;0.9509804;0.7565359;0.5442765;0.7261904;0.5385704;0.4614296;0.0007491;0.9925094;0.6786978;0.4900939;0.4212766;0.12527;0.6738661;0.3196544;0.4924406;0.7796976;0.0043197;0.2267819;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
